Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb927.9.3600,-28.964756,4.75586300341964,0.02806,"Glycosyl transferase family 11, putative"
1,Tb927.9.7980,191.55944399999998,4.1218110765355584,0.00037,"hypothetical protein, conserved"
2,Tb927.10.1870,-493.997633,4.430665472353132,0.0,"LSU ribosomal protein, mitochondrial, putative"
3,Tb927.11.8040,-249.20220099999997,4.446073872798204,0.0,"LSU ribosomal protein, mitochondrial, putative"
4,Tb927.11.9790,-5.228293,5.277074133470176,0.24316,"calmodulin, putative"
5,Tb927.11.870,-335.702623,5.321960709146105,0.0,mitochondrial ribosomal protein l23
6,Tb927.6.5130,50.74006,5.556557104984955,0.00915,"60S acidic ribosomal protein P2, putative"
7,Tb927.6.4080,-248.16020299999997,4.816649985394742,0.0,"ribosomal protein, putative"
8,Tb927.10.11370,-216.775603,5.06740070028546,0.00037,"hypothetical protein, conserved"
9,Tb927.5.1820,5.53105,4.934390144671183,0.23123000000000002,"60S acidic ribosomal protein, putative"
10,Tb927.10.11350,-235.73262000000003,4.9796024937516785,0.0,"LSU ribosomal protein, mitochondrial, putative"
11,Tb927.4.4720,-283.334375,4.2537312450457225,0.0,kinetoplast ribosomal PPR-repeat containing protein 7
12,Tb927.1.1210,-213.151154,4.758069556932298,0.00037,"conserved protein, unknown function"
13,Tb927.11.9860,4.177694,5.844781510141838,0.29058,"EF-hand domain pair, putative"
14,Tb927.4.3430,3.9909,4.904308522775724,0.2997,Mitochondrial import inner membrane translocase subunit TIM12
15,Tb927.8.550,46.723076,4.6083869514996945,0.01064,"peptide methionine sulfoxide reductase, putative"
16,Tb927.7.4550,-158.46141599999999,4.9839493698054875,0.00037,Mitochondrial ribosomal protein L7/L12
17,Tb927.3.2180,-472.51885599999997,4.780741236506703,0.0,"Mitochondrial ATP synthase subunit, putative"
18,Tb927.6.4010,10.52462,5.003225417122126,0.1223,"Translation machinery associated TMA7, putative"
19,Tb927.6.3930,-139.50376200000002,5.042558887572469,0.00037,"LSU ribosomal protein, mitochondrial, putative"
20,Tb927.11.11630,-192.91221399999998,4.727827619840137,0.00037,"LSU ribosomal protein, mitochondrial, putative"
21,Tb927.7.6420,16.410972,4.22980978295254,0.06758,"hypothetical protein, conserved"
22,Tb927.9.1610,-0.416292,4.665896669943927,0.8143600000000001,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
23,Tb927.11.17010,68.31165899999999,4.879532313180689,0.00434,"Rab5-interacting protein (Rab5ip), putative"
24,Tb927.11.1330,-0.33096,4.867073805810276,0.85874,"Stress responsive A/B Barrel Domain, putative"
25,Tb927.7.6770,77.630685,5.402452449101802,0.00318,"Acyl CoA binding protein, putative"
26,Tb927.3.820,-142.861454,4.5185154021464085,0.00037,"LSU ribosomal protein, mitochondrial, putative"
27,Tb927.11.10570,-193.97288700000001,5.1239989205523715,0.00037,"LSU ribosomal protein, mitochondrial, putative"
28,Tb927.7.4140,-192.667567,5.117125401250723,0.00037,mitochondrial ribosomal protein L21
29,Tb927.3.3660,-233.806779,4.493089204961359,0.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
30,Tb927.8.6800,-152.736374,5.196389609260979,0.00037,"hypothetical protein, conserved"
31,Tb927.9.7170,-156.625373,5.169783140992745,0.00037,Mitochondrial ribosomal protein L47
32,Tb927.4.1070,-195.28016499999998,4.622997602424271,0.00037,Mitochondrial ribosomal protein L13
33,Tb927.10.3380,-9.84199,4.799342081353815,0.1312,"60S acidic ribosomal protein P2, putative"
34,Tb927.4.4440,29.535809999999998,4.501404672832837,0.02723,adenylyl cyclase
35,Tb927.6.1440,-227.94511200000002,4.370623895291383,0.0,"LSU ribosomal protein, mitochondrial, putative"
36,Tb927.11.5660,-29.306469,4.595314921767877,0.027610000000000003,"hypothetical protein, conserved"
37,Tb927.11.6000,-119.229927,5.32808544320449,0.00054,mitochondrial ribosomal protein L4
38,Tb927.4.4320,16.85746,4.7521500702325135,0.06513,"divalent cation tolerance protein, putative"
39,Tb927.7.2760,-132.123358,5.006045093243747,0.00037,Mitochondrial ribosomal protein L22
40,Tb927.10.9025,237.524931,4.940203157512742,0.0,hypothetical protein
41,Tb927.11.6510,13.893526999999999,5.481345470721524,0.08628999999999999,"40S ribosomal protein S21, putative"
42,Tb927.7.840,-299.043701,4.930315541459422,0.0,"Mitochondrial ATP synthase subunit, putative"
43,Tb927.10.600,-111.713274,5.079893628234899,0.001,Mitochondrial ribosomal protein L29
44,Tb927.4.4300,-161.419816,4.852799768196662,0.00037,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
45,Tb927.5.4120,-132.46861299999998,5.1783376582604435,0.00037,"LSU ribosomal protein, mitochondrial, putative"
46,Tb927.8.3170,-145.428897,4.860626109472576,0.00037,kinetoplast ribosomal PPR-repeat containing protein 9
47,Tb927.5.770,-127.509703,3.351710435521182,0.00037,Mitoribosomal SSU assembly factor 8
48,Tb927.11.10080,-124.023219,4.780937860882336,0.00054,"LSU ribosomal protein, mitochondrial, putative"
49,Tb927.9.5690,10.719811,5.578671039238628,0.11944,"60S acidic ribosomal protein, putative"
50,Tb927.9.3640,-127.892123,4.644886986625764,0.00037,"LSU ribosomal protein, mitochondrial, putative"
51,Tb927.5.3980,-132.273802,5.3826752935182505,0.00037,mitochondrial ribosomal protein L15
52,Tb927.8.5900,17.104193,4.869626057407337,0.06385,"Sedlin, N-terminal conserved region, putative"
53,Tb927.10.5500,-137.824305,4.778514618894733,0.00037,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
54,Tb927.7.7010,-123.660849,4.60086887508383,0.00054,"LSU ribosomal protein, mitochondrial, putative"
55,Tb927.11.15480,19.154366,5.902736375618905,0.05393,"heat shock protein Hsp20, putative"
56,Tb927.5.3410,-112.279602,4.92937066809083,0.001,Mitochondrial ribosomal protein L9
57,Tb927.9.3290,-0.69604,4.767940433992702,0.70516,"4F5 protein family, putative"
58,Tb927.3.1710,-102.60985699999999,4.433760947104212,0.0016699999999999998,mitochondrial ribosomal protein l24
59,Tb927.6.4200,-93.562989,4.57437727864133,0.00186,"LSU ribosomal protein, mitochondrial, putative"
60,Tb927.2.6220,443.25902199999996,4.8634662792109555,0.0,"adenosine transporter 2, putative"
61,Tb927.8.5120,39.859871000000005,5.234834930052529,0.0141,cytochrome c
62,Tb927.7.2380,170.825501,5.208620483882601,0.00037,"hypothetical protein, conserved"
63,Tb927.3.2880,-248.052831,5.200469578928913,0.0,"Mitochondrial ATP synthase subunit, putative"
64,Tb927.4.4600,-119.446198,5.087351483769976,0.00054,mitochondrial ribosomal protein l43
65,Tb927.9.6710,-82.32794399999999,4.936082361459515,0.003,"kynurenine 3-monooxygenase, putative"
66,Tb927.11.1630,-93.74360899999999,4.92286264870328,0.00186,"LSU ribosomal protein, mitochondrial, putative"
67,Tb927.2.5980,50.070669,6.1415856324913625,0.00925,"chaperone protein ClpB1, putative"
68,Tb927.8.5860,-100.226741,4.913604304771207,0.00182,mitochondrial ribosomal protein L17
69,Tb927.6.4040,-108.833828,4.902134695626858,0.00114,mitochondrial ribosomal protein L28
70,Tb11.1810b.1-p1,-0.678042,5.100286282282263,0.7115600000000001,"retrotransposon hot spot protein (RHS, pseudogene), putative"
71,Tb927.10.9390,-90.87986,4.2928332697412905,0.00193,"Macrocin-O-methyltransferase (TylF), putative"
72,Tb927.4.1810,-88.580636,4.861625999303363,0.00214,mitochondrial ribosomal protein L33
73,Tb927.10.260,13.108513,4.372101545647631,0.09328,"BolA-like protein, putative"
74,Tb927.11.15820,-115.58528000000001,4.778477652806349,0.0007599999999999999,"iron superoxide dismutase C, mitochondrial"
75,Tb927.7.3030,-110.78027800000001,5.114856266504089,0.00103,"hypothetical protein, conserved"
76,Tb927.9.9100,13.107284,5.538140675600299,0.09328,"hypothetical protein, conserved"
77,Tb927.11.5530,-68.635989,4.337277296495797,0.0043,"LSU ribosomal protein, mitochondrial, putative"
78,Tb927.7.3460,-87.405351,5.195502058744247,0.00225,"LSU ribosomal protein, mitochondrial, putative"
79,Tb927.9.8290,-103.644793,4.716213016416407,0.00158,mitochondrial ribosomal protein l30
80,Tb927.11.5500,-109.69689299999999,5.287873857617241,0.00114,"Mitochondrial SSU ribosomal protein, putative"
81,Tb927.5.3110,-77.547452,4.822996488916967,0.00318,Mitochondrial ribosomal protein L49
82,Tb927.9.11660,-72.68055600000001,4.212571993571004,0.0037700000000000003,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
83,Tb927.2.1890,4.737845,5.291144293441371,0.26165,E2-like ubiquitin-conjugation enzyme
84,Tb927.5.3090,-191.54318999999998,5.175003195895747,0.00037,"Mitochondrial ATP synthase subunit, putative"
85,Tb927.7.4700,322.05015699999996,4.490796276119168,0.0,"WD domain, G-beta repeat, putative"
86,Tb927.2.4890,-94.30282,5.1779585655979625,0.00186,mitochondrial ribosomal protein l11
87,Tb927.10.14860,-86.06878499999999,5.225155298185964,0.00228,NADH-ubiquinone oxidoreductase B14 subunit
88,Tb927.11.2235,-0.409468,4.47328903915329,0.81753,hypothetical protein
89,Tb927.3.5610,-72.92766999999999,5.3369242449287295,0.0037700000000000003,Mitochondrial ribosomal protein L3
90,Tb927.9.15010,-94.060427,5.2500218521301685,0.00186,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
91,Tb927.5.3360,-84.820973,4.437369992197025,0.0025,mitochondrial ribosomal protein L2
92,Tb927.6.610,-80.93239,4.851786792512461,0.0031100000000000004,kinetoplast ribosomal PPR-repeat containing protein 18
93,Tb927.10.11050,-85.61539300000001,5.016928000833191,0.00234,"LSU ribosomal protein, mitochondrial, putative"
94,Tb927.9.12850,-64.804663,4.028029175990093,0.00525,Mitoribosomal LSU assembly factor 5
95,Tb927.11.9930,-114.017853,4.73502815851079,0.001,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
96,Tb927.5.2930,-151.424952,5.790454844374417,0.00037,"Mitochondrial ATP synthase subunit, putative"
97,Tb927.10.520,-160.7325,5.570166595863032,0.00037,"Mitochondrial ATP synthase subunit, putative"
98,Tb927.8.6090,-8.708615,4.622559386389588,0.1498,"ubiquitin-protein ligase, putative"
99,Tb927.10.6370,12.058523,5.393319718138067,0.10427,"60S ribosomal proteins L37, putative"
100,Tb927.7.3430,-66.224214,5.081156006452806,0.00503,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb927.11.10170,-72.428567,4.8604431563359665,0.0037700000000000003,Mitochondrial ribosomal protein L20
102,Tb927.6.3140,80.009036,4.991902103252236,0.00316,Ubiquitin-like protein 11
103,Tb927.6.4930,-71.199779,3.888963474915796,0.00389,"thiosulfate sulfurtransferase, mitochondrial, putative"
104,Tb927.2.4840,4.813002,4.424676595435603,0.25906,"Vitamin K epoxide reductase family, putative"
105,Tb927.11.16540,0.537898,5.0100524853177735,0.7617,"Roadblock/LC7 domain containing protein, putative"
106,Tb927.4.930,-66.08784399999999,4.66112353365496,0.00503,Mitochondrial ribosomal protein L14
107,Tb927.6.1990,7.060442,5.904004660644606,0.18456,"hypothetical protein, conserved"
108,Tb927.3.1690,-102.62294,5.087621721362844,0.0016699999999999998,"Mitochondrial ATP synthase subunit, putative"
109,Tb927.7.7380,21.362586999999998,4.7551809542904975,0.04457,u6 snrna-associated sm-like protein lsm3
110,Tb927.8.1880,-46.929666,4.84487876935995,0.01051,"LSU ribosomal protein, mitochondrial, putative"
