Gene_acc,Gene_id,WT1,WT2,WT3,Plus1,Plus2,Plus3,Desc
0,Tb927.9.3600,25522.0,34344.0,35976.0,122240.0,113460.0,113000.0,"Glycosyl transferase family 11, putative"
1,Tb927.9.7980,8983.4,12135.0,10419.0,9687.4,9395.2,8334.9,"hypothetical protein, conserved"
2,Tb927.10.1870,33773.0,39225.0,34605.0,37255.0,38418.0,36138.0,"LSU ribosomal protein, mitochondrial, putative"
3,Tb927.11.8040,31860.0,35908.0,33726.0,40297.0,41232.0,37587.0,"LSU ribosomal protein, mitochondrial, putative"
4,Tb927.11.9790,216510.0,234580.0,217240.0,140980.0,134500.0,139470.0,"calmodulin, putative"
5,Tb927.11.870,261720.0,290010.0,254480.0,283150.0,290800.0,286740.0,mitochondrial ribosomal protein l23
6,Tb927.6.5130,314650.0,345390.0,309140.0,306980.0,306710.0,299360.0,"60S acidic ribosomal protein P2, putative"
7,Tb927.6.4080,76140.0,84285.0,80485.0,95076.0,90921.0,89179.0,"ribosomal protein, putative"
8,Tb927.10.11370,130350.0,154110.0,136630.0,166170.0,166840.0,162770.0,"hypothetical protein, conserved"
9,Tb927.5.1820,82258.0,97100.0,79658.0,72775.0,67272.0,73663.0,"60S acidic ribosomal protein, putative"
10,Tb927.10.11350,113390.0,125950.0,118060.0,132480.0,132330.0,126510.0,"LSU ribosomal protein, mitochondrial, putative"
11,Tb927.4.4720,20280.0,25563.0,23453.0,23615.0,22858.0,25382.0,kinetoplast ribosomal PPR-repeat containing protein 7
12,Tb927.1.1210,61786.0,76693.0,70818.0,82898.0,78910.0,77837.0,"conserved protein, unknown function"
13,Tb927.11.9860,664880.0,758220.0,706500.0,585770.0,571910.0,572940.0,"EF-hand domain pair, putative"
14,Tb927.4.3430,76313.0,87152.0,80208.0,68470.0,64845.0,65735.0,Mitochondrial import inner membrane translocase subunit TIM12
15,Tb927.8.550,34351.0,37953.0,35056.0,38157.0,35995.0,34362.0,"peptide methionine sulfoxide reductase, putative"
16,Tb927.7.4550,102860.0,113070.0,108330.0,142250.0,143210.0,137350.0,Mitochondrial ribosomal protein L7/L12
17,Tb927.3.2180,89285.0,103010.0,89889.0,67323.0,67392.0,67932.0,"Mitochondrial ATP synthase subunit, putative"
18,Tb927.6.4010,93767.0,102170.0,98407.0,85858.0,85346.0,86281.0,"Translation machinery associated TMA7, putative"
19,Tb927.6.3930,108800.0,128830.0,117710.0,172830.0,160310.0,162410.0,"LSU ribosomal protein, mitochondrial, putative"
20,Tb927.11.11630,59328.0,70118.0,65405.0,77595.0,72884.0,71699.0,"LSU ribosomal protein, mitochondrial, putative"
21,Tb927.7.6420,16449.0,16024.0,15601.0,15089.0,15665.0,13847.0,"hypothetical protein, conserved"
22,Tb927.9.1610,43448.0,57246.0,49166.0,38209.0,38626.0,37162.0,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
23,Tb927.11.17010,62986.0,66862.0,61854.0,70839.0,71792.0,67857.0,"Rab5-interacting protein (Rab5ip), putative"
24,Tb927.11.1330,72606.0,83513.0,78716.0,63753.0,59587.0,61129.0,"Stress responsive A/B Barrel Domain, putative"
25,Tb927.7.6770,200140.0,231010.0,197680.0,233470.0,225590.0,244910.0,"Acyl CoA binding protein, putative"
26,Tb927.3.820,32430.0,39902.0,37877.0,49023.0,46433.0,47589.0,"LSU ribosomal protein, mitochondrial, putative"
27,Tb927.11.10570,155940.0,182210.0,164390.0,177210.0,175030.0,174370.0,"LSU ribosomal protein, mitochondrial, putative"
28,Tb927.7.4140,157430.0,173930.0,159160.0,182950.0,175870.0,165130.0,mitochondrial ribosomal protein L21
29,Tb927.3.3660,37248.0,45745.0,39861.0,38936.0,37308.0,42575.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
30,Tb927.8.6800,184770.0,192130.0,167060.0,214520.0,235150.0,212620.0,"hypothetical protein, conserved"
31,Tb927.9.7170,161970.0,182970.0,172780.0,212350.0,204950.0,198470.0,Mitochondrial ribosomal protein L47
32,Tb927.4.1070,50511.0,57425.0,51404.0,56594.0,54088.0,54039.0,Mitochondrial ribosomal protein L13
33,Tb927.10.3380,70248.0,76984.0,73180.0,52361.0,46687.0,51843.0,"60S acidic ribosomal protein P2, putative"
34,Tb927.4.4440,28654.0,31691.0,25155.0,30508.0,27318.0,28668.0,adenylyl cyclase
35,Tb927.6.1440,29730.0,32925.0,30002.0,28385.0,31948.0,29094.0,"LSU ribosomal protein, mitochondrial, putative"
36,Tb927.11.5660,47472.0,54203.0,50437.0,28775.0,30191.0,28525.0,"hypothetical protein, conserved"
37,Tb927.11.6000,216770.0,253800.0,230970.0,308210.0,302640.0,301450.0,mitochondrial ribosomal protein L4
38,Tb927.4.4320,48161.0,57124.0,52514.0,51026.0,52651.0,50156.0,"divalent cation tolerance protein, putative"
39,Tb927.7.2760,111690.0,126550.0,115930.0,143000.0,133860.0,135620.0,Mitochondrial ribosomal protein L22
40,Tb927.10.9025,49162.0,56996.0,54287.0,93335.0,90443.0,91851.0,hypothetical protein
41,Tb927.11.6510,271590.0,305250.0,272790.0,279740.0,275130.0,277450.0,"40S ribosomal protein S21, putative"
42,Tb927.7.840,117790.0,131470.0,119290.0,96006.0,98121.0,98494.0,"Mitochondrial ATP synthase subunit, putative"
43,Tb927.10.600,123450.0,148510.0,134260.0,168920.0,162840.0,164760.0,Mitochondrial ribosomal protein L29
44,Tb927.4.4300,83172.0,95606.0,88431.0,92186.0,92979.0,88899.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
45,Tb927.5.4120,170570.0,184750.0,182420.0,203060.0,199640.0,198060.0,"LSU ribosomal protein, mitochondrial, putative"
46,Tb927.8.3170,84395.0,96253.0,87557.0,92473.0,93946.0,93001.0,kinetoplast ribosomal PPR-repeat containing protein 9
47,Tb927.5.770,2482.4,3241.6,2322.6,2637.6,2551.3,3655.9,Mitoribosomal SSU assembly factor 8
48,Tb927.11.10080,66248.0,79615.0,70439.0,80510.0,75977.0,80360.0,"LSU ribosomal protein, mitochondrial, putative"
49,Tb927.9.5690,330780.0,393220.0,345860.0,350180.0,351410.0,348960.0,"60S acidic ribosomal protein, putative"
50,Tb927.9.3640,49341.0,53275.0,55520.0,56097.0,61329.0,55729.0,"LSU ribosomal protein, mitochondrial, putative"
51,Tb927.5.3980,278590.0,314550.0,287550.0,316910.0,313190.0,299850.0,mitochondrial ribosomal protein L15
