Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb927.9.3600,517.290218,4.75586300341964,0.0,"Glycosyl transferase family 11, putative"
1,Tb927.9.7980,-20.992456,4.1218110765355584,0.051329999999999994,"hypothetical protein, conserved"
2,Tb927.10.1870,-1.249182,4.430665472353132,0.58634,"LSU ribosomal protein, mitochondrial, putative"
3,Tb927.11.8040,2.256478,4.446073872798204,0.43828,"LSU ribosomal protein, mitochondrial, putative"
4,Tb927.11.9790,-183.586077,5.277074133470176,0.0,"calmodulin, putative"
5,Tb927.11.870,-0.521379,5.321960709146105,0.7809699999999999,mitochondrial ribosomal protein l23
6,Tb927.6.5130,-12.381164,5.556557104984955,0.1037,"60S acidic ribosomal protein P2, putative"
7,Tb927.6.4080,1.319005,4.816649985394742,0.5744199999999999,"ribosomal protein, putative"
8,Tb927.10.11370,2.862993,5.06740070028546,0.38177,"hypothetical protein, conserved"
9,Tb927.5.1820,-44.962718,4.934390144671183,0.013030000000000002,"60S acidic ribosomal protein, putative"
10,Tb927.10.11350,0.41276599999999997,4.9796024937516785,0.8248700000000001,"LSU ribosomal protein, mitochondrial, putative"
11,Tb927.4.4720,-1.035618,4.2537312450457225,0.6289,kinetoplast ribosomal PPR-repeat containing protein 7
12,Tb927.1.1210,1.202075,4.758069556932298,0.5959399999999999,"conserved protein, unknown function"
13,Tb927.11.9860,-57.925303,5.844781510141838,0.00835,"EF-hand domain pair, putative"
14,Tb927.4.3430,-55.640874,4.904308522775724,0.00955,Mitochondrial import inner membrane translocase subunit TIM12
15,Tb927.8.550,-2.6890330000000002,4.6083869514996945,0.39631,"peptide methionine sulfoxide reductase, putative"
16,Tb927.7.4550,12.971123,4.9839493698054875,0.09774,Mitochondrial ribosomal protein L7/L12
17,Tb927.3.2180,-110.242776,4.780741236506703,0.00205,"Mitochondrial ATP synthase subunit, putative"
18,Tb927.6.4010,-32.61455,5.003225417122126,0.023780000000000003,"Translation machinery associated TMA7, putative"
19,Tb927.6.3930,25.182932,5.042558887572469,0.03752,"LSU ribosomal protein, mitochondrial, putative"
20,Tb927.11.11630,1.141743,4.727827619840137,0.6069899999999999,"LSU ribosomal protein, mitochondrial, putative"
21,Tb927.7.6420,-10.712769999999999,4.22980978295254,0.12611,"hypothetical protein, conserved"
22,Tb927.9.1610,-82.884741,4.665896669943927,0.0030600000000000002,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
23,Tb927.11.17010,0.430281,4.879532313180689,0.81705,"Rab5-interacting protein (Rab5ip), putative"
24,Tb927.11.1330,-71.236032,4.867073805810276,0.00532,"Stress responsive A/B Barrel Domain, putative"
25,Tb927.7.6770,0.653409,5.402452449101802,0.7328,"Acyl CoA binding protein, putative"
26,Tb927.3.820,12.066415,4.5185154021464085,0.10758,"LSU ribosomal protein, mitochondrial, putative"
27,Tb927.11.10570,-0.93368,5.1239989205523715,0.65404,"LSU ribosomal protein, mitochondrial, putative"
28,Tb927.7.4140,-0.5596260000000001,5.117125401250723,0.76495,mitochondrial ribosomal protein L21
29,Tb927.3.3660,-4.9604550000000005,4.493089204961359,0.26278,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
30,Tb927.8.6800,3.747792,5.196389609260979,0.31805,"hypothetical protein, conserved"
31,Tb927.9.7170,3.2015540000000002,5.169783140992745,0.35264,Mitochondrial ribosomal protein L47
32,Tb927.4.1070,-1.431845,4.622997602424271,0.5525399999999999,Mitochondrial ribosomal protein L13
33,Tb927.10.3380,-135.02758500000002,4.799342081353815,0.0013599999999999999,"60S acidic ribosomal protein P2, putative"
34,Tb927.4.4440,-1.744925,4.501404672832837,0.5017,adenylyl cyclase
35,Tb927.6.1440,-6.554053,4.370623895291383,0.20831999999999998,"LSU ribosomal protein, mitochondrial, putative"
36,Tb927.11.5660,-267.322954,4.595314921767877,0.0,"hypothetical protein, conserved"
37,Tb927.11.6000,13.004997999999999,5.32808544320449,0.09744,mitochondrial ribosomal protein L4
38,Tb927.4.4320,-6.256187000000001,4.7521500702325135,0.21855,"divalent cation tolerance protein, putative"
39,Tb927.7.2760,2.0988,5.006045093243747,0.45765,Mitochondrial ribosomal protein L22
40,Tb927.10.9025,100.427246,4.940203157512742,0.0025,hypothetical protein
41,Tb927.11.6510,-5.7379169999999995,5.481345470721524,0.23296999999999998,"40S ribosomal protein S21, putative"
