Gene_acc,Gene_id,Signed_Rank_WT_vs_Plus,FDR_WT_vs_Plus,Signed_Rank_Plus_vs_Minus,FDR_Plus_vs_Minus,Desc
0,Tb927.9.3600,-1.8632564448655162,0.0,2.348990382816785,0.0,"Glycosyl transferase family 11, putative"
1,Tb927.9.7980,0.2019666982825394,0.051329999999999994,-1.134282967104558,0.0,"hypothetical protein, conserved"
2,Tb927.10.1870,-0.05534382676452107,0.58634,2.2691390579984834,0.0,"LSU ribosomal protein, mitochondrial, putative"
3,Tb927.11.8040,-0.23097277069627836,0.43828,1.953160074090462,0.0,"LSU ribosomal protein, mitochondrial, putative"
4,Tb927.11.9790,0.6876231280338784,0.0,-0.5796099124707608,0.0,"calmodulin, putative"
5,Tb927.11.870,-0.09433802877026158,0.7809699999999999,1.9550965050809235,0.0,mitochondrial ribosomal protein l23
6,Tb927.6.5130,0.08607076710242641,0.1037,-0.5744907716395627,0.0,"60S acidic ribosomal protein P2, putative"
7,Tb927.6.4080,-0.19186036807766618,0.5744199999999999,1.8953619711450094,0.0,"ribosomal protein, putative"
8,Tb927.10.11370,-0.23557145865003232,0.38177,1.8850144240591935,0.0,"hypothetical protein, conserved"
9,Tb927.5.1820,0.2773868024621124,0.013030000000000002,-0.4944972515912168,0.0,"60S acidic ribosomal protein, putative"
10,Tb927.10.11350,-0.1308092125407687,0.8248700000000001,1.8310158335690643,0.0,"LSU ribosomal protein, mitochondrial, putative"
11,Tb927.4.4720,-0.05231647198600018,0.6289,1.8253795194438984,0.0,kinetoplast ribosomal PPR-repeat containing protein 7
12,Tb927.1.1210,-0.1953472070135546,0.5959399999999999,1.8460705462701736,0.0,"conserved protein, unknown function"
13,Tb927.11.9860,0.29929349590927573,0.00835,-0.4927453591497342,0.0,"EF-hand domain pair, putative"
14,Tb927.4.3430,0.29181553176949615,0.00955,-0.48868470218860033,0.0,Mitochondrial import inner membrane translocase subunit TIM12
15,Tb927.8.550,-0.015424608208929769,0.39631,-0.4613858699896529,0.0,"peptide methionine sulfoxide reductase, putative"
16,Tb927.7.4550,-0.38285843163197025,0.09774,1.8136726992962031,0.0,Mitochondrial ribosomal protein L7/L12
17,Tb927.3.2180,0.47766737080341853,0.00205,1.79495324746291,0.0,"Mitochondrial ATP synthase subunit, putative"
18,Tb927.6.4010,0.19301483024405985,0.023780000000000003,-0.4628428812520996,0.0,"Translation machinery associated TMA7, putative"
19,Tb927.6.3930,-0.4798305303301942,0.03752,1.8054580016537622,0.0,"LSU ribosomal protein, mitochondrial, putative"
20,Tb927.11.11630,-0.18934463294249584,0.6069899999999999,1.7980990863658033,0.0,"LSU ribosomal protein, mitochondrial, putative"
21,Tb927.7.6420,0.10818079079045091,0.12611,-0.430288933731073,0.0,"hypothetical protein, conserved"
22,Tb927.9.1610,0.3946194983530684,0.0030600000000000002,-0.4259118276376305,0.0,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
23,Tb927.11.17010,-0.13487259853051847,0.81705,-0.4106321943964724,0.0,"Rab5-interacting protein (Rab5ip), putative"
24,Tb927.11.1330,0.3482690530449342,0.00532,-0.3999211395741118,0.0,"Stress responsive A/B Barrel Domain, putative"
25,Tb927.7.6770,-0.16284390224588313,0.7328,-0.41822075526590646,0.0,"Acyl CoA binding protein, putative"
26,Tb927.3.820,-0.37622702697194954,0.10758,1.7092130795231164,0.0,"LSU ribosomal protein, mitochondrial, putative"
27,Tb927.11.10570,-0.06749648441827133,0.65404,1.6460769653543341,0.0,"LSU ribosomal protein, mitochondrial, putative"
28,Tb927.7.4140,-0.0951171827228165,0.76495,1.6745550225147383,0.0,mitochondrial ribosomal protein L21
29,Tb927.3.3660,0.0481792793878081,0.26278,1.628122842097409,0.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
30,Tb927.8.6800,-0.2839625079040242,0.31805,1.6684885972479195,0.0,"hypothetical protein, conserved"
31,Tb927.9.7170,-0.2502195298167256,0.35264,1.6438810834315403,0.0,Mitochondrial ribosomal protein L47
32,Tb927.4.1070,-0.0479160134940802,0.5525399999999999,1.6164932836473913,0.0,Mitochondrial ribosomal protein L13
33,Tb927.10.3380,0.5466960135413702,0.0013599999999999999,-0.37512962610461326,0.0,"60S acidic ribosomal protein P2, putative"
