Gene_acc,Gene_id,Plus1,Plus2,Plus3,Minus1,Minus2,Minus3,Desc
0,Tb927.9.3600,122240.0,113460.0,113000.0,23884.0,21421.0,23139.0,"Glycosyl transferase family 11, putative"
1,Tb927.9.7980,9687.4,9395.2,8334.9,19400.0,20384.0,20400.0,"hypothetical protein, conserved"
2,Tb927.10.1870,37255.0,38418.0,36138.0,7768.4,7772.3,7654.9,"LSU ribosomal protein, mitochondrial, putative"
3,Tb927.11.8040,40297.0,41232.0,37587.0,10253.0,11011.0,9497.7,"LSU ribosomal protein, mitochondrial, putative"
4,Tb927.11.9790,140980.0,134500.0,139470.0,210710.0,208540.0,200870.0,"calmodulin, putative"
5,Tb927.11.870,283150.0,290800.0,286740.0,74892.0,76513.0,70570.0,mitochondrial ribosomal protein l23
6,Tb927.6.5130,306980.0,306710.0,299360.0,456470.0,462500.0,440700.0,"60S acidic ribosomal protein P2, putative"
7,Tb927.6.4080,95076.0,90921.0,89179.0,24295.0,25610.0,24064.0,"ribosomal protein, putative"
8,Tb927.10.11370,166170.0,166840.0,162770.0,44081.0,47155.0,42992.0,"hypothetical protein, conserved"
9,Tb927.5.1820,72775.0,67272.0,73663.0,99024.0,106470.0,95587.0,"60S acidic ribosomal protein, putative"
10,Tb927.10.11350,132480.0,132330.0,126510.0,36581.0,34558.0,38848.0,"LSU ribosomal protein, mitochondrial, putative"
11,Tb927.4.4720,23615.0,22858.0,25382.0,7617.8,6246.7,6410.6,kinetoplast ribosomal PPR-repeat containing protein 7
12,Tb927.1.1210,82898.0,78910.0,77837.0,21448.0,22819.0,22390.0,"conserved protein, unknown function"
13,Tb927.11.9860,585770.0,571910.0,572940.0,800040.0,844310.0,790840.0,"EF-hand domain pair, putative"
14,Tb927.4.3430,68470.0,64845.0,65735.0,95621.0,97898.0,85781.0,Mitochondrial import inner membrane translocase subunit TIM12
15,Tb927.8.550,38157.0,35995.0,34362.0,47967.0,50695.0,50747.0,"peptide methionine sulfoxide reductase, putative"
16,Tb927.7.4550,142250.0,143210.0,137350.0,39370.0,42705.0,38200.0,Mitochondrial ribosomal protein L7/L12
17,Tb927.3.2180,67323.0,67392.0,67932.0,17448.0,20485.0,20466.0,"Mitochondrial ATP synthase subunit, putative"
18,Tb927.6.4010,85858.0,85346.0,86281.0,118590.0,122060.0,114230.0,"Translation machinery associated TMA7, putative"
19,Tb927.6.3930,172830.0,160310.0,162410.0,50221.0,49174.0,42377.0,"LSU ribosomal protein, mitochondrial, putative"
20,Tb927.11.11630,77595.0,72884.0,71699.0,20739.0,21952.0,21197.0,"LSU ribosomal protein, mitochondrial, putative"
21,Tb927.7.6420,15089.0,15665.0,13847.0,21554.0,19985.0,18561.0,"hypothetical protein, conserved"
22,Tb927.9.1610,38209.0,38626.0,37162.0,50038.0,53553.0,49555.0,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
23,Tb927.11.17010,70839.0,71792.0,67857.0,93139.0,96865.0,89791.0,"Rab5-interacting protein (Rab5ip), putative"
24,Tb927.11.1330,63753.0,59587.0,61129.0,81622.0,80545.0,81228.0,"Stress responsive A/B Barrel Domain, putative"
25,Tb927.7.6770,233470.0,225590.0,244910.0,313020.0,339790.0,287890.0,"Acyl CoA binding protein, putative"
26,Tb927.3.820,49023.0,46433.0,47589.0,14391.0,14196.0,15160.0,"LSU ribosomal protein, mitochondrial, putative"
27,Tb927.11.10570,177210.0,175030.0,174370.0,56315.0,60194.0,51747.0,"LSU ribosomal protein, mitochondrial, putative"
28,Tb927.7.4140,182950.0,175870.0,165130.0,53534.0,57223.0,53377.0,mitochondrial ribosomal protein L21
29,Tb927.3.3660,38936.0,37308.0,42575.0,12837.0,13438.0,12164.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
30,Tb927.8.6800,214520.0,235150.0,212620.0,70301.0,71843.0,66201.0,"hypothetical protein, conserved"
31,Tb927.9.7170,212350.0,204950.0,198470.0,65039.0,67464.0,64540.0,Mitochondrial ribosomal protein L47
32,Tb927.4.1070,56594.0,54088.0,54039.0,16487.0,20606.0,16627.0,Mitochondrial ribosomal protein L13
33,Tb927.10.3380,52361.0,46687.0,51843.0,64992.0,66976.0,63731.0,"60S acidic ribosomal protein P2, putative"
34,Tb927.4.4440,30508.0,27318.0,28668.0,37608.0,39188.0,36737.0,adenylyl cyclase
35,Tb927.6.1440,28385.0,31948.0,29094.0,9495.8,9686.1,10018.0,"LSU ribosomal protein, mitochondrial, putative"
36,Tb927.11.5660,28775.0,30191.0,28525.0,39046.0,39277.0,36526.0,"hypothetical protein, conserved"
37,Tb927.11.6000,308210.0,302640.0,301450.0,98232.0,104300.0,99330.0,mitochondrial ribosomal protein L4
38,Tb927.4.4320,51026.0,52651.0,50156.0,65626.0,68437.0,62924.0,"divalent cation tolerance protein, putative"
39,Tb927.7.2760,143000.0,133860.0,135620.0,46263.0,49677.0,50025.0,Mitochondrial ribosomal protein L22
40,Tb927.10.9025,93335.0,90443.0,91851.0,115100.0,124120.0,108940.0,hypothetical protein
41,Tb927.11.6510,279740.0,275130.0,277450.0,350990.0,365570.0,327880.0,"40S ribosomal protein S21, putative"
